analyst_id,Ticker,Quarter,Reported,Rank,EpsPoints,RevenuePoints,TotalPoints
andluger,NFLX,Q3 2020,20-Oct-20,149 / 221,9,-3,6
andluger,IRBT,Q3 2020,20-Oct-20,4/27,10,10,20
andluger,IBM,Q3 2020,19-Oct-20,82 / 100,-4,-8,-12
andluger,JD,Q2 2020,17-Aug-20,12/1,12,14,26
andluger,MYGN,Q4 2020,13-Aug-20,3/6,12,-3,9
andluger,CSCO,Q4 2020,12-Aug-20,49 / 116,20,-2,18
andluger,AOSL,Q4 2020,11-Aug-20,2/5,9,11,20
andluger,NIO,Q2 2020,11-Aug-20,6/1,9,19,28
andluger,DGII,Q3 2020,6-Aug-20,2/8,25,22,47
andluger,SWIR,Q2 2020,6-Aug-20,5/10,18,-1,17
andluger,WMG,Q4 2021,15-Nov-21,3/4,,9,9
andluger,DIS,Q4 2021,10-Nov-21,92 / 96,-3,-25,-28
andluger,ZNGA,Q3 2021,8-Nov-21,23 / 34,,5,5
andluger,RBLX,Q3 2021,8-Nov-21,11/28,,10,10
andluger,YELP,Q3 2021,4-Nov-21,14 / 17,,10,10
andluger,EA,Q2 2022,3-Nov-21,12/28,14,-2,12
andluger,MGNI,Q3 2021,3-Nov-21,1/13,,25,25
andluger,TTWO,Q2 2022,3-Nov-21,16 / 26,9,-4,5
andluger,ROKU,Q3 2021,3-Nov-21,2/1,,24,24
andluger,CRTO,Q3 2021,3-Nov-21,4/4,-5,-8,-13
andluger,ATVI,Q3 2021,2-Nov-21,12/1,18,-2,16
andluger,NLSN,Q3 2021,28-Oct-21,5/5,6,-10,-4
andluger,SPOT,Q3 2021,27-Oct-21,23 / 25,,-25,-25
andluger,NFLX,Q3 2021,19-Oct-21,108 / 144,-4,-1,-5
andluger,RBLX,Q2 2021,16-Aug-21,3/20,,19,19
andluger,DIS,Q3 2021,12-Aug-21,92 / 95,4,-25,-21
andluger,MGNI,Q2 2021,5-Aug-21,3/13,,10,10
andluger,ZNGA,Q2 2021,5-Aug-21,9/26,,21,21
andluger,YELP,Q2 2021,5-Aug-21,16 / 17,,-15,-15
andluger,EA,Q1 2022,4-Aug-21,22 / 32,10,-4,6
andluger,ROKU,Q2 2021,4-Aug-21,43 / 54,,-4,-4
andluger,CRTO,Q2 2021,4-Aug-21,4/4,11,6,17
andluger,ATVI,Q2 2021,3-Aug-21,8/1,11,15,26
andluger,TTWO,Q1 2022,2-Aug-21,13 / 30,13,-2,11
andluger,NLSN,Q2 2021,29-Jul-21,1/3,12,20,32
andluger,SPOT,Q2 2021,28-Jul-21,30 / 33,,-25,-25
andluger,NFLX,Q2 2021,20-Jul-21,54 / 140,-2,-2,-4
andluger,TTWO,Q4 2021,18-May-21,25 / 34,8,-4,4
andluger,DIS,Q2 2021,13-May-21,125 / 128,13,-25,-12
andluger,EA,Q4 2021,11-May-21,23 / 47,8,12,20
andluger,MGNI,Q1 2021,10-May-21,4/12,,-3,-3
andluger,RBLX,Q1 2021,10-May-21,9/19,,9,9
Suntrust_106,YELP,Q1 2021,6-May-21,25 / 27,,-7,-7
Suntrust_106,ROKU,Q1 2021,6-May-21,34 / 47,,9,9
Suntrust_106,NLSN,Q1 2021,6-May-21,3/3,-5,-3,-8
Suntrust_106,ZNGA,Q1 2021,5-May-21,1/1,,21,21
Suntrust_106,CRTO,Q1 2021,5-May-21,6/6,6,5,11
Suntrust_106,ATVI,Q1 2021,4-May-21,33 / 47,5,9,14
Suntrust_106,SPOT,Q1 2021,28-Apr-21,37 / 42,,-25,-25
Suntrust_106,NFLX,Q1 2021,20-Apr-21,11 / 209,12,23,35
Suntrust_106,NLSN,Q4 2020,25-Feb-21,5/5,-7,-4,-11
Suntrust_106,MGNI,Q4 2020,24-Feb-21,23 / 31,,8,8
Suntrust_106,ROKU,Q4 2020,18-Feb-21,43 / 71,,14,14
Suntrust_106,DIS,Q1 2021,11-Feb-21,111 / 119,16,-25,-9
Suntrust_106,ZNGA,Q4 2020,10-Feb-21,36 / 38,,-11,-11
Suntrust_106,CRTO,Q4 2020,10-Feb-21,1/7,18,9,27
Suntrust_106,YELP,Q4 2020,9-Feb-21,23 / 36,,15,15
Suntrust_106,TTWO,Q3 2021,8-Feb-21,1/1,25,20,45
Suntrust_106,GLUU,Q4 2020,8-Feb-21,8/9,,-4,-4
Suntrust_106,ATVI,Q4 2020,4-Feb-21,29 / 58,-4,13,9
Suntrust_106,CRSP,Q3 2021,3-Nov-21,1/18,22,-2,20
Suntrust_106,WDAY,Q2 2022,26-Aug-21,28 / 32,-4,-8,-12
Suntrust_106,CYBR,Q2 2021,12-Aug-21,4/14,-4,17,13
Suntrust_106,AAIC,Q2 2021,3-Aug-21,4/6,17,8,25
Suntrust_106,SAM,Q2 2021,22-Jul-21,12/18,-3,-4,-7
Suntrust_106,HAL,Q2 2021,20-Jul-21,13 / 19,10,-8,2
Suntrust_106,AA,Q2 2021,15-Jul-21,24 / 25,-24,10,-14
Suntrust_106,STZ,Q1 2022,30-Jun-21,7/17,-4,-1,-5
Suntrust_106,ADBE,Q2 2021,17-Jun-21,50 / 87,10,11,21
Suntrust_106,JBL,Q3 2021,17-Jun-21,2/4,10,13,23
Suntrust_106,PD,Q1 2022,3-Jun-21,9/14,-5,19,14
Suntrust_106,AVGO,Q2 2021,3-Jun-21,4/1,15,23,38
Suntrust_106,LULU,Q1 2021,3-Jun-21,18 / 55,12,18,30
Suntrust_106,AMBA,Q1 2022,1-Jun-21,13 / 32,11,15,26
Suntrust_106,COST,Q3 2021,27-May-21,23 / 50,9,11,20
Suntrust_106,PLAN,Q1 2022,27-May-21,8/13,-11,21,10
Suntrust_106,NVDA,Q1 2022,26-May-21,20 / 195,13,21,34
Suntrust_106,NTNX,Q3 2021,26-May-21,7/16,-4,18,14
Suntrust_106,BIDU,Q1 2021,18-May-21,20 / 88,15,14,29
Suntrust_106,DIS,Q2 2021,13-May-21,85 / 128,10,-4,6
Suntrust_106,INFI,Q1 2021,13-May-21,5/6,-4,-4,-8
Suntrust_106,BABA,Q4 2021,13-May-21,2 / 138,-3,25,22
