analyst_id,Ticker,Reports,Quarters,Points,PtsEst,ErrorRate,Accuracy
Analyst_7537221,MSFT,27-Jan,2,-3,-1.5,9.10%,36%
Analyst_7537221,GOOGL,2-Feb,2,-14,-7,20.70%,39%
Analyst_7537221,SBUX,27-Jan,2,0,0,6.40%,48%
Analyst_7537221,DIS,8-Feb,1,24,24,50.80%,53%
Analyst_7537221,DKS,8-Mar,1,18,18,26.10%,54%
Analyst_7537221,AMZN,3-Feb,1,19,19,25.80%,39%
Analyst_7537221,OXY,15-Feb,1,-12,-12,54.20%,30%
Analyst_7537221,COF,25-Jan,1,5,5,30.50%,26%
Analyst_7537221,JPM,14-Jan,1,34,34,3.90%,79%
Analyst_7537221,FDX,16-Dec,1,19,19,4.20%,68%
Analyst_7537221,AAPL,1-Feb,1,-7,-7,11.90%,45%
Analyst_7537221,QCOM,2-Feb,1,17,17,1.70%,69%
Analyst_7537221,CSCO,16-Feb,1,8,8,1.40%,45%
Analyst_7537221,FB,2-Feb,1,-6,-6,12.30%,52%
Analyst_7537221,TWTR,10-Feb,1,22,22,12.60%,62%
Analyst_7537221,MRVL,10-Mar,1,5,5,3.80%,32%
Analyst_7537221,MU,20-Dec,1,24,24,4.30%,59%
Analyst_7537221,TXN,26-Jan,1,-29,-29,20.90%,1%
Analyst_7537221,V,3-Feb,1,20,20,5.30%,50%
Analyst_7537221,GPN,16-Feb,1,21,21,4.40%,63%
Analyst_7537221,ATVI,10-Feb,1,32,32,6.20%,74%
Analyst_7537221,ADBE,16-Dec,1,35,35,3.90%,84%
Analyst_7537221,CRM,1-Mar,1,18,18,12.00%,48%
Analyst_7537221,NEE,28-Jan,1,22,22,13.40%,64%
Analyst_7537221,CX,10-Feb,1,20,20,53.10%,69%
Analyst_7537221,MCFT,10-Feb,1,30,30,15.80%,70%
Analyst_7537221,WMT,17-Feb,1,-10,-10,7.30%,24%
Analyst_1195762,OXY,15-Feb,3,-6,-2,45.50%,49%
Analyst_1195762,BA,26-Jan,2,18,9,51.80%,63%
Analyst_8385453,OXY,15-Feb,4,-55,-13.8,40.20%,26%
Analyst_7053330,HUN,16-Feb,1,28,28,6.30%,76%
Analyst_7053330,OXY,15-Feb,1,34,34,14.60%,87%
Analyst_7053330,GE,27-Jan,1,-6,-6,52.40%,57%
Analyst_9753755,OXY,15-Feb,1,11,11,43.40%,64%
Analyst_6222748,OXY,15-Feb,1,-8,-8,58.80%,32%
Analyst_5619558,OXY,15-Feb,1,-8,-8,58.80%,32%
Analyst_3670895,OXY,15-Feb,1,-8,-8,58.80%,32%
Analyst_8237749,OXY,15-Feb,1,-8,-8,58.80%,32%
